Nome;Ruolo;Quotazione
Sommer;P;20
Milinkovic-Savic;P;18
Vicario;P;17
Meret;P;15
Caprile;P;14
Falcone;P;12
Di Gregorio;P;13
Okoye;P;11
Bastoni;D;28
Bremer;D;26
Buongiorno;D;24
Calafiori;D;23
Di Lorenzo;D;22
Dimarco;D;25
Bellanova;D;18
Cambiaso;D;20
Dorgu;D;15
Mazzi;D;12
Pavard;D;21
Natan;D;13
Romagnoli;D;17
Huijsen;D;19
Gatti;D;16
Vasquez;D;12
Marlon;D;11
Barella;C;30
Tonali;C;27
Reijnders;C;29
Locatelli;C;20
Frattesi;C;22
Zielinski;C;21
Koopmeiners;C;24
Fofana;C;19
Baldanzi;C;16
Ricci;C;15
Fagioli;C;13
Mkhitaryan;C;18
Pellegrini Lorenzo;C;22
Freuler;C;17
Bennacer;C;18
Miretti;C;12
Lautaro Martinez;A;45
Retegui;A;42
Kean;A;38
Lookman;A;40
Vlahovic;A;39
Pulisic;A;37
Rafael Leao;A;36
Lukaku;A;30
Zirkzee;A;26
Dovbyk;A;28
Piccoli;A;22
Orsolini;A;29
