Nome;Ruolo;Quotazione;Squadra
Svilar;P;18;Roma
Martinez Jo.;P;17;Inter
Butez;P;16;Como
Carnesecchi;P;16;Atalanta
Maignan;P;15;Milan
De Gea;P;13;Fiorentina
Meret;P;11;Napoli
Skorupski;P;10;Bologna
Caprile;P;9;Cagliari
Di Gregorio;P;9;Juventus
Mandas;P;9;Lazio
Okoye;P;9;Udinese
Bijlow;P;8;Genoa
Falcone;P;8;Lecce
Daffara;P;7;Parma
Muric;P;7;Sassuolo
Suzuki;P;7;Parma
Perin;P;6;Juventus
Stankovic F.;P;6;Venezia
Milinkovic-Savic V.;P;5;Napoli
Thiam;P;5;Monza
Palmisani;P;4;Frosinone
Desplanches;P;2;Frosinone
Provedel;P;2;Inter
Christensen O.;P;1;Fiorentina
Ciocci;P;1;Cagliari
Contini;P;1;Napoli
Corvi;P;1;Parma
Dimarco;D;32;Inter
Wesley;D;17;Roma
Akanji;D;16;Inter
Bremer;D;15;Juventus
Mancini;D;15;Roma
Bastoni;D;14;Inter
Pavlovic;D;14;Milan
Rrahmani;D;14;Napoli
Kalulu;D;13;Juventus
N'Dicka;D;13;Roma
Solet;D;13;Udinese
Di Lorenzo;D;12;Napoli
Gila;D;12;Milan
Stones;D;12;Inter
Bisseck;D;11;Inter
Ostigard;D;11;Genoa
Dodò;D;10;Fiorentina
Hermoso;D;10;Roma
Ramon;D;10;Como
Scalvini;D;10;Atalanta
Cambiaso;D;9;Juventus
Vasquez;D;9;Genoa
Bartesaghi;D;8;Milan
Celik;D;8;Juventus
Delprato;D;8;Parma
Dragusin;D;8;Fiorentina
Gutierrez;D;8;Napoli
Hien;D;8;Atalanta
Jimenez A.;D;8;Fiorentina
Koulierakis;D;8;Roma
Lucumì;D;8;Juventus
Mina;D;8;Cagliari
Miranda J.;D;8;Bologna
Norton-Cuffy;D;8;Genoa
Spinazzola;D;8;Napoli
Valeri;D;8;Parma
Vojvoda;D;8;Udinese
Zappacosta;D;8;Atalanta
Buongiorno;D;7;Napoli
Carlos Augusto;D;7;Inter
Coco;D;7;Torino
Djimsiti;D;7;Atalanta
Doekhi;D;7;Lazio
Gabbia;D;7;Milan
Idzes;D;7;Sassuolo
Ismajli;D;7;Torino
Kaiki;D;7;Como
Kristensen T.;D;7;Atalanta
Obert;D;7;Cagliari
Romagnoli;D;7;Lazio
Tiago Gabriel;D;7;Lecce
Tomori;D;7;Milan
Ahanor;D;6;Atalanta
Bella-Kotchap;D;6;Venezia
Bellanova;D;6;Atalanta
Bernasconi;D;6;Atalanta
Beukema;D;6;Napoli
Circati;D;6;Parma
Comuzzo;D;6;Torino
Gallo;D;6;Lecce
Heggem;D;6;Bologna
Kamara H.;D;6;Udinese
Mangas;D;6;Monza
Marcandalli;D;6;Genoa
Marusic;D;6;Lazio
Monterisi;D;6;Frosinone
Pavard;D;6;Inter
Tavares N.;D;6;Lazio
Valdepenas;D;6;Fiorentina
Valle;D;6;Como
Viery;D;6;Fiorentina
Zortea;D;6;Bologna
Paz N.;C;30;Como
McTominay;C;28;Napoli
Calhanoglu;C;27;Inter
Orsolini;C;26;Bologna
Pulisic;C;25;Milan
Rabiot;C;22;Milan
Baturina;C;19;Como
Da Cunha;C;18;Como
Zaniolo;C;18;Udinese
Atta;C;17;Fiorentina
Barella;C;17;Inter
McKennie;C;17;Juventus
Zaccagni;C;16;Lazio
De Bruyne;C;15;Napoli
Vlasic;C;14;Torino
Gudmundsson A.;C;13;Lazio
Taylor K.;C;13;Lazio
Alajbegovic;C;12;Juventus
Conceicao;C;12;Juventus
Ederson D.S.;C;12;Atalanta
Modric;C;12;Milan
Rodriguez Je.;C;12;Como
Samardzic;C;12;Atalanta
Baldanzi;C;11;Genoa
Rowe;C;11;Atalanta
Zambo Anguissa;C;11;Napoli
Casadei;C;10;Torino
Ekkelenkamp;C;10;Udinese
Konè M.;C;10;Roma
Perrone;C;10;Como
Politano;C;10;Napoli
Saelemaekers;C;10;Milan
Thorstvedt;C;10;Sassuolo
Thuram K.;C;10;Juventus
Zielinski;C;10;Inter
Bernardeschi;C;9;Bologna
Cancellieri;C;9;Lazio
Isaksen;C;9;Lazio
Konè I.;C;9;Sassuolo
Mandragora;C;9;Torino
Pasalic;C;9;Atalanta
Cambiaghi;C;8;Bologna
Colpani;C;8;Monza
Cristante;C;8;Roma
Diouf;C;8;Inter
Fagioli;C;8;Fiorentina
Locatelli;C;8;Juventus
Ndour;C;8;Fiorentina
Odgaard;C;8;Bologna
Sucic P.;C;8;Inter
Vergara;C;8;Napoli
Bernabè;C;7;Parma
Calò;C;7;Frosinone
Fazzini;C;7;Cagliari
Ferguson;C;7;Bologna
Frattesi;C;7;Lazio
Frendrup;C;7;Genoa
Gaetano;C;7;Atalanta
Lobotka;C;7;Napoli
Oristanio;C;7;Torino
Pessina;C;7;Monza
Unai Gomez;C;7;Udinese
Volpato;C;7;Sassuolo
Adopo;C;6;Cagliari
Akinsanmiro;C;6;Monza
Basic;C;6;Venezia
Caqueret;C;6;Como
Chukwueze;C;6;Milan
Coulibaly L.;C;6;Lecce
Ellertsson;C;6;Genoa
Karlstrom;C;6;Udinese
Liberali;C;6;Como
Martinez L.;A;35;Inter
Malen;A;34;Roma
Thuram;A;29;Inter
Hojlund;A;28;Napoli
Ramos G.;A;27;Milan
Kolo Muani;A;26;Juventus
Kean;A;25;Como
Yildiz;A;23;Juventus
Douvikas;A;20;Como
Davis K.;A;19;Udinese
Scamacca;A;19;Atalanta
Berardi;A;18;Sassuolo
Krstovic;A;18;Atalanta
Leao;A;18;Milan
De Ketelaere;A;17;Atalanta
Dovbyk;A;16;Bologna
Esposito F.P.;A;16;Inter
Laurientè;A;15;Sassuolo
Pellegrino M.;A;15;Fiorentina
Simeone;A;15;Torino
Castro S.;A;14;Roma
Dybala;A;14;Roma
Santos A.;A;14;Napoli
Esposito Se.;A;13;Sassuolo
Nkunku;A;13;Milan
Pinamonti;A;13;Lazio
Raspadori;A;13;Atalanta
Adams A.;A;12;Venezia
Soulè;A;12;Roma
Colombo;A;11;Genoa
Diao;A;11;Como
Bowie;A;10;Sassuolo
Dia;A;10;Lazio
Lukaku;A;10;Napoli
Ratkov;A;10;Lazio
Adams C.;A;9;Torino
Cutrone;A;9;Monza
David;A;9;Juventus
Geubbels;A;9;Lecce
Ghedjemis;A;9;Frosinone
Dallinga;A;8;Bologna
Piccoli;A;8;Bologna
Rrahmani Al.;A;8;Venezia
Vitinha O.;A;8;Genoa
Yeboah J.;A;8;Venezia
Bonny;A;7;Inter
Raimondo;A;7;Frosinone
Stulic;A;7;Lecce
Zapata D.;A;7;Torino
Boga;A;6;Juventus
Gimenez;A;6;Milan
Mutandwa;A;6;Cagliari
Neres;A;6;Napoli
Noslin;A;6;Lazio
Sulemana K.;A;6;Atalanta
Adorante;A;5;Venezia
