Nome;Ruolo;Quotazione;Squadra
MALEN D.;A;98;Roma
MARTINEZ L.;A;83;Inter
RAMOS G.;A;79;Milan
HOJLUND R.;A;77;Napoli
KOLO MUANI R.;A;71;Juventus
THURAM M.;A;71;Inter
DOUVIKAS T.;A;70;Como
YILDIZ K.;A;67;Juventus
KEAN M.;A;62;Como
DAVIS K.;A;59;Udinese
SCAMACCA G.;A;58;Atalanta
KRSTOVIC N.;A;57;Atalanta
SOULE M.;A;57;Roma
WOLTEMADE N.;A;57;Juventus
CASTRO S.;A;54;Roma
DYBALA P.;A;54;Roma
SIMEONE G.;A;54;Torino
ADAMS C.;A;52;Torino
PINAMONTI A.;A;52;Lazio
BERARDI D.;A;51;Sassuolo
ESPOSITO F.;A;45;Inter
LAURIENTÉ A.;A;45;Sassuolo
PELLEGRINO M.;A;44;Fiorentina
RASPADORI G.;A;43;Atalanta
ZAPATA D.;A;42;Torino
NERES D.;A;41;Napoli
BETO;A;40;Fiorentina
ESPOSITO S.;A;39;Sassuolo
ROWE J.;A;39;Bologna *
DE KETELAERE C.;A;38;Atalanta
RODRIGUEZ J.;A;38;Como
BOGA J.;A;34;Juventus
COLOMBO L.;A;34;Genoa
LANG N.;A;34;Napoli
ALAJBEGOVIC K.;A;32;Juventus
DIAO A.;A;32;Como
BONNY A.;A;31;Inter
RAIMONDO A.;A;30;Frosinone
VÍTINHA;A;30;Genoa
CAMBIAGHI N.;A;29;Bologna
GNONTO W.;A;29;Fiorentina
LUCCA L.;A;28;Napoli
STULIC N.;A;27;Lecce
ISAKSEN G.;A;26;Lazio
PICCOLI R.;A;26;Bologna
BOWIE K.;A;25;Sassuolo
BORRELLI G.;A;24;Cagliari
CUTRONE P.;A;24;Monza
GHEDJEMIS F.;A;24;Frosinone
GIOVANE D.;A;24;Napoli
YEBOAH J.;A;24;Venezia
ADORANTE A.;A;23;Venezia
GONZALEZ N.;A;23;Juventus
NOSLIN T.;A;23;Lazio
ELPHEGE N.;A;22;Parma
SULEMANA K.;A;22;Atalanta
VARELA G.;A;22;Monza
BOBCEK T.;A;21;Frosinone
KVERNADZE G.;A;21;Frosinone
NJIE A.;A;21;Fiorentina
HAVEL E.;A;20;Genoa
ADDAI J.;A;19;Como
CANCELLIERI M.;A;19;Lazio
DOVBYK A.;A;19;Bologna
EKHATOR J.;A;19;Juventus
MOTA D.;A;19;Monza
NZOLA M.;A;19;Cagliari
ROMERO D.;A;19;Parma
DOMINGUEZ B.;A;18;Sassuolo
ABOUKHLAL Z.;A;17;Torino
ADAMS A.;A;17;Venezia
BIRLIGEA D.;A;17;Frosinone
KULENOVIC S.;A;17;Torino
N'DRI K.;A;17;Lecce
NGONGE C.;A;17;Monza
ALMQVIST P.;A;15;Parma
GEUBBELS W.;A;15;Lecce
GUEYE I.;A;14;Udinese
OSMAJIC M.;A;14;Genoa
TOURÉ E.;A;14;Parma
BAYO V.;A;13;Udinese
BALDÉ K.;A;12;Monza
CARLOS K.;A;12;Cagliari
ENEM J.;A;12;Bologna
ZEBALLOS E.;A;12;Monza
CAMARDA F.;A;10;Milan
FATAH A.;A;10;Lecce
FELICI M.;A;10;Cagliari
FINI S.;A;10;Frosinone
FRIGAN M.;A;10;Parma
LISMAN K.;A;10;Venezia
MILIK A.;A;10;Juventus
RRAHMANI Al.;A;10;Venezia
KARLSSON J.;A;9;Bologna
ROBINSON J.;A;9;Monza
ROBINHO J.;A;8;Genoa
LAUBERBACH L.;A;6;Venezia
MENDY P.;A;6;Cagliari
PELLEGRI P.;A;6;Torino
DE MARTIS T.;A;4;Parma
TREPY Y.;A;4;Cagliari
ARENA A.;A;3;Roma
DIALLO O.;A;3;Parma
FORSON O.;A;3;Monza
MARTINS K.;A;3;Monza
SKJELLERUP L.;A;3;Sassuolo
CICHERO A.;A;2;Frosinone
LONTANI S.;A;2;Parma
PIERINI N.;A;2;Sassuolo
BALENTIEN C.;A;1;Milan
CROCI F.;A;1;Fiorentina
JOVIC M.;A;1;Lecce
KULLA G.;A;1;Sassuolo
LAERKE H.;A;1;Lecce
LAVELLI M.;A;1;Inter
MOSCONI M.;A;1;Inter
NUREDINI J.;A;1;Genoa
TOURÉ M.;A;1;Venezia
VINCIATI G.;A;1;Udinese
ZULEVIC A.;A;1;Genoa
CALHANOGLU H.;C;65;Inter
