nome;ruolo;squadra;base
Malen;A;Roma;98
Martinez L.;A;Inter;83
Goncalo Ramos;A;Milan;79
Hojlund;A;Napoli;77
Kolo Muani;A;Juventus;71
Thuram;A;Inter;71
Douvikas;A;Como;70
Yildiz;A;Juventus;67
Kean;A;Como;62
Davis;A;Udinese;59
Scamacca;A;Atalanta;58
Krstovic;A;Atalanta;57
Soule;A;Roma;57
Woltemade;A;Juventus;57
Castro;A;Roma;54
Dybala;A;Roma;54
Simeone;A;Torino;54
Che Adams;A;Torino;52
Pinamonti;A;Lazio;52
Berardi;A;Sassuolo;51
Esposito Pio;A;Inter;45
Lauriente;A;Sassuolo;45
Pellegrino;A;Fiorentina;44
Raspadori;A;Atalanta;43
Zapata;A;Torino;42
Neres;A;Napoli;41
Beto;A;Fiorentina;40
Esposito S.;A;Sassuolo;39
Rowe;A;Atalanta;39
De Ketelaere;A;Atalanta;38
Rodriguez J.;A;Como;38
Boga;A;Juventus;34
Colombo;A;Genoa;34
Lang;A;Napoli;34
Alajbegovic;A;Juventus;32
Diao;A;Como;32
Bonny;A;Inter;31
Raimondo;A;Frosinone;30
Vitinha;A;Genoa;30
Cambiaghi;A;Bologna;29
Gnonto;A;Fiorentina;29
Lucca;A;Napoli;28
Stulic;A;Lecce;27
Isaksen;A;Lazio;26
Piccoli;A;Bologna;26
Bowie;A;Sassuolo;25
Borrelli;A;Cagliari;24
Cutrone;A;Monza;24
Ghedjemis;A;Frosinone;24
Giovane;A;Napoli;24
Yeboah;A;Venezia;24
Adorante;A;Venezia;23
Gonzalez N.;A;Juventus;23
Noslin;A;Lazio;23
Elphege;A;Parma;22
Sulemana K.;A;Atalanta;22
Varela;A;Monza;22
Bobcek;A;Frosinone;21
Kvernadze;A;Frosinone;21
Njie;A;Fiorentina;21
Havel;A;Genoa;20
Addai;A;Como;19
Cancellieri;A;Lazio;19
Dovbyk;A;Bologna;19
Ekhator;A;Juventus;19
Mota;A;Monza;19
Nzola;A;Cagliari;19
Romero D.;A;Parma;19
Dominguez B.;A;Sassuolo;18
Aboukhlal;A;Torino;17
Adams A.;A;Venezia;17
Birligea;A;Frosinone;17
Kulenovic;A;Torino;17
NDri;A;Lecce;17
Ngonge;A;Monza;17
Almqvist;A;Parma;15
Geubbels;A;Lecce;15
Gueye;A;Udinese;14
Osmajic;A;Genoa;14
Toure E.;A;Parma;14
Bayo;A;Udinese;13
Baldé K.;A;Monza;12
Enem;A;Bologna;12
Kevin Carlos;A;Cagliari;12
Zeballos;A;Monza;12
Camarda;A;Milan;10
Fatah;A;Lecce;10
Felici;A;Cagliari;10
Fini;A;Frosinone;10
Frigan;A;Parma;10
Lisman;A;Venezia;10
Milik;A;Juventus;10
Rrahmani A.;A;Venezia;10
Karlsson;A;Bologna;9
Robinson J.;A;Monza;9
Robinho Jr.;A;Genoa;8
Lauberbach;A;Venezia;6
Mendy;A;Cagliari;6
Pellegri;A;Torino;6
De Martis T.;A;Parma;4
Trepy;A;Cagliari;4
Arena A.;A;Roma;3
Diallo O.;A;Parma;3
Forson;A;Monza;3
Martins;A;Monza;3
Skjellerup;A;Sassuolo;3
Cichero;A;Frosinone;2
Lontani;A;Parma;2
Pierini;A;Sassuolo;2
Balentien C.;A;Milan;1
Croci;A;Fiorentina;1
Jovic M.;A;Lecce;1
Kulla;A;Sassuolo;1
Laerke;A;Lecce;1
Lavelli M.;A;Inter;1
Mosconi M.;A;Inter;1
Nuredini;A;Genoa;1
Toure M.;A;Venezia;1
Vinciati;A;Udinese;1
Zulevic;A;Genoa;1
Calhanoglu;C;Inter;65
Mctominay;C;Napoli;57
Paz;C;Como;57
Pulisic;C;Milan;55
Orsolini;C;Bologna;51
Rabiot;C;Milan;50
Vlasic;C;Torino;50
De Bruyne;C;Napoli;48
Zaniolo;C;Udinese;48
Baturina;C;Como;47
Da Cunha;C;Como;45
Santos;C;Napoli;45
Pellegrini Lo.;C;Roma;44
Barella;C;Inter;42
Conceicao;C;Juventus;42
Modric;C;Milan;42
